state,season,date,latitude,longitude,description
Montana,Summer,2010-10-22,46.30766,-113.1424, After exploring old gold mines a rock is thrown at a moving vehicle near Georgetown
Montana,Winter,1981-12-20,47.07444,-111.9625, Motorist & passenger see white creature standing off I-15
Montana,Summer,1982-06-30,47.04333,-112.7031, Boys observe hairy man-like creature several times
Montana,Fall,1990-11-10,47.07954,-112.5649, Hunting party reports frightening vocalization
Montana,Summer,1994-07-12,46.83285,-112.702, Woman reports afternoon sighting
Montana,Summer,2004-01-18,47.12806,-111.9094, Boy Scouts watch creature eating leaves along Dearborn River
Montana,Winter,2012-12-02,46.59692,-110.6268, Man-like figure seen running along a tree-line off Hwy. 12 near Checkerboard
Montana,Spring,2020-04-15,47.43904,-115.6545, Sighting by trucker on Hwy 90 at Lookout Pass outside Tammany
Montana,Summer,1989-07-13,47.03222,-114.0906, Witnesses hear two powerful vocalizations near their property on the Flathead Reservation
Montana,Summer,2004-07-20,47.06032,-114.0717, Woman reports sighting at the edge of backyard
Montana,Winter,2005-01-23,46.75889,-114.08, Two men report powerful vocalizations behind neighborhood
Montana,Fall,2006-09-13,46.96508,-114.0725, Biologist observes a biped on a ridge outside Missoula
Montana,Summer,2012-07-20,46.5252,-113.5911, Morning hike turns a veterinarian and her family into believers near Missoula
Montana,Summer,2018-06-19,46.93335,-113.8334," Campers describe stalking, rock-throwing and snapped trees in Lolo National Forest"
Montana,Summer,2001-08-22,45.66722,-110.8069, A van driver and passenger observe a large animal walking
Montana,Fall,2005-09-20,45.82285,-114.0125, Trucker couple report daytime road-crossing sighting near Sula
Montana,Fall,1984-10-27,48.03278,-105.8642, Witnesses hear unusual screams while hunting & note local Indian stories regarding Bigfoot
Montana,Winter,2017-12-01,47.25335,-114.45, Daylight sighting by motorists near the Flathead River
Montana,Spring,1982-03-14,47.17833,-111.9744," Vocalizing, smelly animal circles cabin"
Montana,Summer,2012-06-30,45.28074,-109.5528, Photograph taken of a figure sitting by a creek outside Red Lodge
Montana,Winter,2012-11-24,46.48392,-111.2644, Elk hunter finds large bi-pedal tracks on Mount Baldy
Montana,Winter,2007-01-15,45.0262,-106.8331, Late night sighting by motorist near Decker Montana
Montana,Fall,2012-06-24,45.3705,-112.9707, Photo taken of a possible print near Lake Esler and memory told of a daylight sighting near Deerhead Lake
North Carolina,Unknown,1971-10-01,36.09945,-80.7704, Young boy startles creature under house porch.
North Carolina,Fall,1983-11-15,36.21335,-78.09365, Hunter has daytime sighting near Shocco Creek
North Carolina,Fall,2011-09-10,35.1685,-82.488, Mother and daughter see 9' tall white-furred creature while camping in Pisgah NF outside Brevard.
North Carolina,Summer,1975-07-12,35.5131,-83.5582, Hikers find footprint in Great Smoky Mountains National Park.
North Carolina,Winter,1999-01-16,36.38287,-80.46865, Mother and daughter find footprints in their front yard in Pilot Mountain.
North Carolina,Winter,2007-05-10,36.48615,-80.375, Possible vocalization and approach to tents reported by campers on private land near Pilot Mountain
North Carolina,Fall,1994-11-30,35.2256,-80.26915," Woman witnesses a 7 foot tall, silver-black sasquatch while driving"
North Carolina,Fall,1976-11-15,35.18637,-78.63611, Two young men are confronted in broad daylight by a large creature near Falcon
North Carolina,Spring,1991-03-15,35.451,-82.287, Daylight sighting by fishermen on Broad River
North Carolina,Fall,2015-10-13,34.5287,-79.26708, Motorist has a nighttime sighting on I-95 near Rowland
North Carolina,Fall,2008-10-18,35.0554,-79.88049, Deer hunter finds possible footprint near Ellerbe
North Carolina,Winter,1998-01-05,35.5605,-83.5214," Long trail of 13"" long human-like footprints found in deep snow and rough terrain"
North Carolina,Winter,2020-01-31,35.33783,-83.52992, YESTERDAY motorists in Smoky Mts. observe a Bigfoot along Little Tennessee River
North Carolina,Summer,1978-08-24,36.31126,-81.30889, Man recalls his 1978 close encounter with a large hair covered creature in Wilkesboro
North Carolina,Winter,2019-11-18,36.0055,-81.08335," Deer hunter sees tree shaking, then see the large shaker, outside Wilkesboro"
North Carolina,Winter,1976-12-12,36.134,-80.66," Menacing commotion at night, tracks in snow the next morning, out Yadkinville"
North Carolina,Summer,2012-08-17,35.56577,-79.75537, Motorists have a possible late night sighting outside Seagrove
North Carolina,Fall,2011-10-04,35.28195,-82.39165, Likely Sasquatch activity around farm property near Green River gamelands
North Carolina,Fall,1997-11-15,36.31625,-79.03025, Man has afternoon sighting and finds scat on his property near Flat River
North Carolina,Spring,1998-03-31,34.3924,-77.7485, Person awakes to a 'howling' or 'wailing' sound just outside the house; he compares the sound to a recorded howl of a bigfoot
North Carolina,Fall,1982-10-01,36.3715,-76.29115," Deer hunter witnesses a large, gorilla like animal"
North Carolina,Spring,2004-05-12,36.2058,-78.968, Rural residents disturbed by nighttime activity near Buffalo Creek
North Carolina,Fall,1965-10-01,34.6894,-77.2914, Youth's presence startles unknown animal
North Carolina,Unknown,1979-07-18,36.0089,-77.90525, Woman recalls watching a bigfoot cross the road while riding with her mother near Rocky Mount
North Carolina,Fall,2000-09-09,35.8934,-81.98335, Possible vocalizations heard by campers on the Blueridge Parkway
North Carolina,Fall,1973-10-01,35.2483,-83.28265, Large creature turned and stared at couple
North Carolina,Summer,2002-07-14,35.5311,-78.4048, Nighttime sighting by a man and his sister on road near Smithfield.
North Carolina,Summer,2005-07-02,35.211,-83.007, Possible vocalization in the Blue Ridge Mountains
North Carolina,Fall,1995-10-14,35.18083,-79.21278, Hunter in tree stand recalls startling early morning observation near Ft. Bragg
North Carolina,Winter,2002-12-07,35.10486,-83.23206, Camper describes possible vocalization and rock throwing outside Franklin.
North Carolina,Summer,2015-06-29,30.0326,-83.52959, Appalachian Trail Hikers find possible tracks and hear a late night howl near Franklin
North Carolina,Summer,2005-07-05,35.892,-82.829, Family describes incidents in Pisgah Nat. Forest ;  NC-06 Exped notes
North Carolina,Winter,2012-01-22,35.7695,-82.87408, Possible vocal interaction with children playing at dusk near Hot Springs
North Carolina,Fall,2009-09-30,35.85107,-82.05008, Driver & passenger observe late night road crossing near Spruce Pine
North Carolina,Winter,2016-12-24,35.6644,-81.78065, Ongoing incidents in North Cove outside Asheville
North Carolina,Summer,1990-06-30,35.30773,-79.75644, Road-crossing sighting by motorist on Hwy 220 north of Candor
North Carolina,Summer,2004-06-12,35.4449,-80.0616, Campers have morning sighting in Uwharrie National Forest
North Carolina,Winter,2010-12-04,35.31924,-80.03551, Unknown early morning visitor heard by a youth leader in the Uwharrie National Forest
North Carolina,Fall,2011-10-24,35.43787,-80.69763, Campers awakened by heavy bipedal footsteps in Uwharrie National Forest
North Carolina,Spring,2014-04-15,35.25048,-79.86721, Gold panner reports rocks thrown in frequent sighting zone within Uwharrie National Forest
North Carolina,Fall,2014-11-08,35.35636,-80.01653, Camper is subjected to possible intimidation behavior in the Uwharrie National Forest
North Carolina,Summer,2015-09-24,35.31331,-80.00272, Morning hiker hears possible knocks and strange vocals in the Uwharrie National Forest
North Carolina,Fall,2015-10-25,35.46955,-80.08778, Possible encounter scares a camper from his hammock while in the Uwharrie National Forest
North Carolina,Summer,2020-06-18,35.24749,-79.97967, Road crossing sighting on Hwy 109 near Mt. Gilead and Uwharrie National Forest
North Carolina,Fall,1983-10-02,34.50917,-77.53445, Early morning traveler recalls roadway sighting near Holly Ridge
North Carolina,Summer,1987-07-15,34.7576,-77.5873," Man hits 7 foot tall, reddish-brown creature with his car, then is pursued by the creature"
North Carolina,Summer,1999-07-16,34.53784,-77.50434, Motorist observes bipedal animal shaking a pecan tree near Camp LeJeune.
North Carolina,Winter,2005-02-10,34.40434,-77.23759, While training a U.S. Marine witnesses a large creature near Camp LeJuene
North Carolina,Spring,1983-04-15,35.33975,-82.443, Motorist slams on his brakes when a 4-5' brown shaggy creature steps in front of his car near Hendersonville
North Carolina,Fall,2005-12-02,35.89305,-83.26097, Possible vocalization in Great Smoky Mountain National Park
North Carolina,Fall,1968-10-16,35.42525,-77.67995, Early morning vocalizations heard near Rainbow Creek
North Carolina,Summer,1977-08-15,35.91965,-80.6282, Teenage boys have sighting at night near Lake Myers
North Carolina,Fall,1998-11-15,35.87885,-80.2068, Possible vocalizations heard periodically over the years outside Lexington
North Carolina,Summer,1989-08-09,35.1312,-79.11128," Soldier on maneuvers finds large, human-like footprints at Fort Bragg"
North Carolina,Spring,1977-05-21,34.79914,-77.10508, Military officer recalls possible daylight sighting while driving in the Croatan National Forest
North Carolina,Fall,1998-09-09,35.94585,-81.7418," While out trout fishing, father and son come across one big footprint in the sand"
North Carolina,Fall,1986-09-16,35.7909,-82.4614," Just after sundown, driver has sighting close to Carter Mountain"
North Carolina,Fall,1989-11-11,35.998,-76.946, Daylight sighting by hunters near Windsor
North Carolina,Fall,2010-11-09,35.88561,-81.92929, Daylight sighting of a bipedal animal by a motorist near Linville
North Carolina,Winter,1987-03-22,36.3461,-81.38915, Park Rangers and residents of Glendale Springs observe large footprints in deep snow
North Carolina,Summer,2013-06-12,35.94647,-81.03185, Motorist observes large hairy biped in the late afternoon near Taylorsville
North Carolina,Fall,2013-10-18,35.84103,-81.20877, Possible early evening sighting while driving by a vineyard near Taylorsville
North Carolina,Summer,2008-07-21,36.42315,-81.56219, Possible howls heard in the Three Top Mountain area
North Carolina,Spring,2011-06-17,35.95865,-81.95195, Campers hear multiple whooping sounds at Linville Falls
North Carolina,Fall,1991-11-17,35.618,-82.321, Adult recounters childhood sighting on Black Mountain
North Carolina,Spring,2016-06-15,35.2725,-82.65414, Large trees shaking 15 miles SW of Asheville
North Carolina,Fall,2001-10-20,35.83845,-81.80479, Two experienced campers hear vocalizations unlike any thay are familiar with
North Carolina,Summer,2013-06-26,35.78043,-81.77603, Fisherman reports possible sightings and activity around Lake James
North Carolina,Winter,1972-11-18,35.6267,-81.5917, Deer hunter watches large upright walking animal on Butler Knob.
North Carolina,Summer,2006-08-17,35.194,-81.402, Man describes his wife's observation of a very tall figure outside their home near King's Mountain
North Carolina,Fall,2007-04-09,35.75,-80.375, Daylight sighting by farmer (and children) plowing field next to the Yadkin River
North Carolina,Spring,2007-05-03,35.95815,-80.2084, Possible pre-dawn approach to property outside Winston-Salem
North Carolina,Fall,2011-11-19,34.78052,-77.85507, Law Enforcement Officer observes large figure along river bank while hunting for deer near Pin Hook
North Carolina,Spring,2019-07-15,35.53467,-83.17152, Possible Sasquatch wood knocks heard near Masonic Monument along Blue Ridge Parkway
North Carolina,Spring,2021-05-30,35.53467,-83.17152, Possible sighting of a Sasquatch on Blue Ridge Parkway at overlook near Masonic Monument
North Carolina,Winter,2000-12-19,35.36,-82.4831," Tracks found before Christmas, near Hendersonville"
North Carolina,Summer,2009-07-20,35.41939,-82.56715, Late night sighting by boy walking near Mills River
North Dakota,Winter,2004-02-22,47.72964,-102.701, Rash of sighting reports from multiple witnesses
North Dakota,Summer,2005-08-27,47.71188,-101.8886, Multiple witness sighting near White Shield
North Dakota,Winter,2004-02-26,47.63297,-102.7291, Tribal government employee photographs line of tracks in snow
Nebraska,Summer,1979-07-04,41.2333,-96.42668," Multiple witness sighting at night, 3 miles east of Mead, Nebraska"
Nebraska,Summer,2005-01-06,41.134,-95.88, Teen has nighttime sighting near Fontenelle Forest
Nebraska,Fall,1997-10-15,40.64043,-97.13196, Motorist has possible night time sighting near Dorchester
Nebraska,Unknown,1980-06-30,40.84792,-96.6824, Newspaper account of an encounter with an unknown creature near Salt Creek
Nebraska,Fall,1979-09-15,42.76609,-97.97573, Hunter has evening sighting near Bazile Creek State Wildlife Management Area.
Nebraska,Winter,2008-08-15,41.55099,-98.22576, Creature seen walking across pasture in daylight north of Grand Island
Nebraska,Fall,1974-09-30,40.1399,-96.7432, Late Afternoon sighting by motorist near Blue Springs
Nebraska,Summer,2005-08-13,41.238,-95.92, Various sightings by residents near the Missouri River
Nebraska,Summer,1996-07-05,42.5893,-103.398, Nighttime sighting by a motorist on a road south of Crawford
Nebraska,Fall,1998-09-15,42.47356,-96.46025, Three witnesses encounter a large creature while walking down a gravel road outside South Sioux City
Nebraska,Unknown,1957-09-18,42.87331,-100.5501," Woman recalls an encounter as a child, in an alley in the town of Valentine"
New Hampshire,Fall,2000-10-15,43.45844,-71.07906, Dog walker reports being paralled at night along dirt road near Sunrise Lake
New Hampshire,Summer,2004-09-12,43.05,-70.93333, Vocalizations heard near Rockingham
Nebraska,Fall,2003-09-15,42.69657,-103.0044, Three witnesses observe large creature run in front of them while parked in Red Cloud State Park
Nebraska,Fall,2006-10-29,42.71425,-103.018, Possilble daylight sighting by hikers (at 300-400 yds.) in Chadron State Park
New Jersey,Summer,2004-04-23,40.7446,-74.6215," Driving along a secluded road at night, couple's car almost strikes creature crossing road"
New Jersey,Spring,2006-02-01,39.632,-75.5167, Possible sighting near Supawna Meadows National Wildlife Refuge
New Jersey,Summer,1979-08-15,41.06945,-74.15562, Woman recalls seeing something strange cross the road while driving at dusk near Ringwood
New Jersey,Fall,1981-09-04,40.18113,-74.09944, Youths have evening encounter near Allaire State Park
New Jersey,Spring,1977-06-03,40.18478,-74.72261, Man recalls sighting as a young boy on his way to go fishing in John A. Roebling Park near Bordentown
New Jersey,Fall,1971-10-16,40.8959,-74.2918," Small group observed in a remote part of Essex County Swamp, around noon."
New Jersey,Spring,2006-12-17,40.77545,-74.3516, Possible sighting by motorist at dusk outside Livingston
New Jersey,Summer,2008-09-04,40.60667,-74.84528, Late night vocalization heard by fishermen north of Flemington
New Jersey,Fall,2005-12-11,40.478,-74.4611, Night time sighting by New Brunswick resident near Lawrence Brook
New Jersey,Spring,2005-12-10,40.9934,-74.3249," Group observes animal in daylight, one mile from Federal Hill near Riverdale"
New Jersey,Spring,2007-02-01,40.9575,-74.45995, Man recalls incident during childhood -- possible vocalizaitons near Split Rock Reservoir Dam
New Jersey,Winter,2007-11-09,40.9427,-74.46155, Possible Wood Knock Interaction at Wildcat Ridge near Rockaway
New Jersey,Fall,2009-10-30,40.93552,-74.49518, Possible wood knocks heard near Hibernia Bat Cave/Wildcat Ridge in Rockaway
New Jersey,Spring,2013-02-15,41.01941,-74.57013, Afternoon sighting while hiking at Mahlon Dickerson Reservation
New Jersey,Winter,2005-11-13,39.7384,-74.2975, Possible vocalizations heard in undeveloped section of Ocean County
New Jersey,Summer,2006-07-27,39.934,-74.3966, Possible intimidation in the Pine Barrens
New Jersey,Summer,2009-01-25,40.053,-74.1301, Man recalls incident years before among homes near Brick
New Jersey,Fall,2016-11-21,39.98216,-74.36187, Men have early morning sighting on way to job site near Manchester
New Jersey,Spring,2018-04-07,39.94853,-74.42721, Couple have possible daytime encounter in the Pine Barrens near the town of Brown Mills
New Jersey,Fall,2005-12-10,41.08335,-74.321, Hunter has early morning encounter 8 miles north of Riverdale
New Jersey,Summer,2007-01-15,41.1445,-74.29085, Possible vocalization heard by fisherman at Monksville Reservoir
New Jersey,Winter,2012-12-29,39.70852,-75.38251, Night time road crossing near Woodstown
New Jersey,Summer,2008-07-25,40.45815,-74.77675, Teens observe a Bigfoot in daylight on a gas line route between Hillsborough and East Amwell townships
New Jersey,Fall,1976-10-18,41.2145,-74.5995, Teens have scary encounter in abandoned creamery near Sussex
New Jersey,Summer,1977-07-09,41.13498,-74.80315, Recollection of a late night road crossing while driving near Branchville
New Jersey,Summer,1990-06-15,41.29596,-74.68832, Man recalls hearing strange howls while camping in High Point State Park
New Jersey,Summer,1991-07-01,41.30566,-74.6854, Campers retreat to their vehicles due to a loud unknown vocalization near High Point State Park
New Jersey,Winter,1995-02-01,40.99567,-74.78004, Possible screams and stalking heard by seven campers out Newton
New Jersey,Fall,1997-11-15,41.14652,-74.59959," Nighttime encounter at a garbage dumpster in Hamburg, near the Delware Water Gap."
New Jersey,Summer,2015-06-23,41.29453,-74.68758, Campers have possible encounter while staying in High Point State Park
New Jersey,Fall,2015-10-02,41.17838,-74.52625, Trio remember observing a tall biped figure by a golf course in Vernon
New Jersey,Summer,2016-03-05,41.27412,-74.64189, Possible daylight sighting by a young girl catching frogs at Pleasant Acres Campground
New Hampshire,Fall,2014-09-15,44.79969,-71.1794, Farmer hears possible nighttime vocalizations outside Errol
New Hampshire,Spring,2016-07-08,42.78378,-71.77646, Family reports strange ongoing activity near Greenville
New Hampshire,Fall,1970-10-31,43.11074,-71.35414, Woman recalls scary night while at a Girl Scout campground in Bear Brook State Park
New Hampshire,Winter,2001-01-10,43.28556,-71.46778, Couples hears late night scream in Loudon
New Mexico,Winter,1986-12-24,33.82819,-106.9285, Night time sighting on I-25 within Bosque del Apache National Wildlife Refuge
New Mexico,Fall,2013-10-18,35.52162,-105.2526," Scientist skeptic has early morning encounter behind gas station near Las Vegas, NM"
New Mexico,Fall,1982-01-11,36.4178,-107.1612, Hunters experience powerfull knocks on camper and hear vocalizations outside Jicarilla Indian Reservation
New Mexico,Fall,2002-09-17,35.63736,-108.8676, Witness sees unknown animal cross dirt road near New Mexico State Route 264
New Mexico,Winter,2005-01-23,36.9934,-104.4801, Motorist has nighttime sighting below Raton Pass
Nevada,Summer,1980-09-15,39.29056,-119.6564, Two security guards see a creature outside of Gold Hill
Nevada,Winter,2005-02-15,40.52737,-118.1806, Hikers spot a dark figure walking on a snowy mountainside near Winnemucca
New Mexico,Fall,2005-11-03,35.58565,-107.9978, Man observes creature walking across road.
New Mexico,Winter,2011-03-07,35.37201,-108.2034," Motorist has close-range encounter with large, hairy biped south of Thoreau"
New Mexico,Summer,2011-07-16,36.0605,-108.84, A large biped seen in headlights on a moonlit night in the Chuska Mountains
New Mexico,Summer,2001-08-06,33.27735,-105.7395, Nighttime sightings on Mescalero IR
New Mexico,Spring,2004-06-02,33.2516,-105.7197, Possible night time sighting by a resident in the Carrizo neighborhood of Mescalero IR
New Mexico,Summer,2004-07-26,33.15405,-105.7947, A few witnesses see something reach through an open window in Mescalero N.M.
New Mexico,Winter,2008-03-12,33.27094,-105.7338," Mescalero Reservation resident sees silhouetted figure swaying at window, large footprints outside house"
New Mexico,Spring,1983-05-07,35.98475,-106.8803, Sasquatch reaches into tent of adult camper
New Mexico,Winter,2004-12-15,36.7474,-107.6021, Water hauler has late night encounter
New Mexico,Winter,2005-01-10,36.72065,-107.3956, Close range night time sighting by water hauler near Gobernador (on BLM land).
New Mexico,Summer,2005-06-21,36.91475,-106.9958, Vocalizations heard near Dulce
New Mexico,Summer,2005-08-11,36.095,-106.9571, Various sounds heard during the BFRO's Jemez Mts. expedition.
New Mexico,Summer,2020-07-20,36.90237,-106.5784, Possible Sasquatch wood knocks in forested riverbed beside Chama during lockdown
New Mexico,Spring,2002-03-16,36.81315,-108.7608, River guide sees skinny bigfoot at dusk
New Mexico,Spring,2002-06-15,36.126,-108.87, Early evening sighting in meadow near Narbona Pass in the Chuska Mountains
New Mexico,Fall,2003-10-19,36.39135,-109.0612, Mother and daughter see creature from the road
New Mexico,Summer,2005-08-06,36.14505,-108.8548," Possible visitation at a camp, 10 miles northeast of Whiskey Lake."
New Mexico,Fall,2005-10-11,36.39135,-109.0612, Zoologist hears wood knocking.
New Mexico,Spring,2009-05-12,36.08089,-108.892, Daytime sighting by two men while driving near Narbona Pass
New Jersey,Summer,1998-07-15,39.60835,-74.43445," Night sighting by motorists near Garden State Parkway, exit 52"
New Jersey,Fall,2005-12-10,40.16465,-74.68135, Late night sighting by motorists in Crosswicks
New Jersey,Fall,2005-12-23,39.652,-74.6298," Night time sighting in Wharton State Forest, within five miles of Batsto"
New Jersey,Winter,2006-03-09,39.7962,-74.3749, Late afternoon sighting in the Pine Barrens
New Jersey,Fall,2006-04-07,39.8234,-74.70135, Possible Nightime Encounter In Wharton State Forest
New Jersey,Spring,2013-05-18,39.69191,-74.55341, Camper has nightime intimidation encounter in the Pine Barrens
New Jersey,Summer,2019-06-20,39.7784,-74.54086, Motorist spots juvenile sasquatch near Speedwell entrance to Franklin Parker Preserve
New Jersey,Fall,2016-11-16,39.22348,-74.69759, Men see upright creature walking in front of a home at dusk near Ocean City
Nevada,Summer,2004-10-15,37.8583,-118.325, Daylight sighting by Reno police officer and two friends on Boundary Peak Mtn.
Nevada,Fall,1984-09-15,39.00056,-119.8458, Two Hikers Have Close Encounter Near Genoa
New York,Fall,2003-09-20,43.27314,-76.89331," Man observes tall, white hair-covered creature during a family gathering near Lake Ontario"
New York,Winter,2001-01-01,42.40489,-76.17366, Two hunters experience vocalizations and encounter very large unknown animal
New York,Fall,1999-09-13,42.32724,-76.75318, Motorists and firefighters observe a sasquatch darting across Rt. 224 SE of Odessa
New York,Summer,1980-08-21,41.5036,-73.7171, Two young boys see crouching animal
New York,Summer,1973-08-01,42.56379,-74.8865, Old sighting (1973) and recent vocalizations (2005/06) on the outskirts of Maryland (town)
New York,Spring,1992-05-01,43.26886,-78.28014," Two young boys experience powerful, high-pitched vocalization"
New York,Spring,1997-04-15,43.22649,-78.3253, Morning sighting by motorist at railroad crossing near Median
New York,Summer,2002-08-22,43.2265,-78.1946," Powerful vocalizations heard near town of Albion, NY"
New York,Winter,2003-01-15,43.34806,-78.23962, Husband and wife see animal near garbage dump
New York,Spring,2004-05-31,42.32921,-75.3811, Women sees tall animal pass by her bedroom window in morning daylight (8:00 AM).
New York,Summer,2004-09-20,41.38084,-73.91649," Possible red eyeshine in woods near Garrison, New York"
New York,Spring,2020-05-17,41.49887,-73.59659, Knocks heard from Great Croton Swamp south of Pawling
New York,Summer,2015-08-06,41.23296,-74.11488, Two fishermen frightened after dark on Lake Kanawauke
New York,Spring,2009-03-18,44.62185,-75.58825, Wood knocks heard and tracks found near Canton
New York,Spring,1980-04-21,42.28045,-77.60525, Daylight sighting near a railroad bed and the Canisteo River
New York,Fall,2003-11-09,42.54346,-77.36516, Campers describe incidents over 3-4 hours with unseen animal near their camp outside Prattsburgh
New York,Fall,2012-11-15,42.33473,-77.29253, Resident observes a sasquatch near homes at 2-3am on the outskirts of Bath
New York,Fall,2001-10-22,42.1174,-75.64853, Close roadside observation of female upright animal along country road
New York,Spring,1997-05-23,41.66955,-74.0863, Video footage shot at dusk shows a primate in a tree in the background.
New York,Summer,2001-08-15,43.7268,-73.52," Campers describe a possible approach to a camp near Lake George, Adirondacks"
New York,Spring,2002-05-11,43.6678,-73.51238, Possible vocalizaitons heard approx. two miles from Sabbath Day Point
New York,Spring,2006-03-31,43.66344,-73.56614, Possible vocalizations heard near Sabbath Day Point
New York,Summer,2006-11-26,43.42645,-73.741, Possible stalking of hikers on Prospect Mt. near Lake George
New York,Summer,2007-08-18,43.64706,-75.57448, Female hiker describes rocks being thrown at her and female companion near Sabbath Day Point
New York,Summer,2009-07-26,43.32,-73.81, Possible vocalizations heard by campers In Lake Luzerne area
New York,Summer,2018-08-07,43.55915,-73.34116, Motorist sighting at night approx 2 miles from NY/VT state line outside Whitehall
